project,algorithm,ci_skip,batch_size,duration,testall_duration,time_saved,builds_saved,median_delay,testall_size
SpongePowered-SpongeForge.csv,BATCHBISECT,0,-1,1572210.0,3267615.0,51.885090501788,40.10366051182378,-1,3087
DSpace-DSpace.csv,BATCHBISECT,0,-1,357103.0,1027323.0,65.23946217499267,61.41268803139307,-1,1529
essentials-Essentials.csv,BATCHBISECT,0,-1,55418.0,58032.0,4.504411359250071,-4.109589041095885,-1,73
xetorthio-jedis.csv,BATCHBISECT,0,-1,262349.0,533837.0,50.855972890601436,47.35432016075016,-1,1493
samtools-htsjdk.csv,BATCHBISECT,0,-1,472631.0,1625028.0,70.91551653263821,64.1136504014824,-1,1619
caelum-vraptor4.csv,BATCHBISECT,0,-1,72562.0,149339.0,51.41121877071629,41.649048625792815,-1,946
cloudfoundry-uaa.csv,BATCHBISECT,0,-1,520317.0,1661708.0,68.68782000207015,62.704918032786885,-1,244
keycloak-keycloak.csv,BATCHBISECT,0,-1,2182703.0,4295476.0,49.18600406567281,48.26166514181153,-1,2186
open-keychain-open-keychain.csv,BATCHBISECT,0,-1,407138.0,657306.0,38.05959477016793,29.92916174734357,-1,1694
ratpack-ratpack.csv,BATCHBISECT,0,-1,1541193.0,1788638.0,13.834269427351984,0.9057971014492794,-1,1656
apache-tajo.csv,BATCHBISECT,0,-1,nan,nan,nan,24.435797665369652,-1,1285
Graylog2-graylog2-server.csv,BATCHBISECT,0,-1,903508.0,3179525.0,71.58355414723897,63.212435233160626,-1,3088
typetools-checker-framework.csv,BATCHBISECT,0,-1,13898546.0,29301756.0,52.567532130156295,33.87656959658029,-1,3743
dropwizard-dropwizard.csv,BATCHBISECT,0,-1,1108672.0,3760633.0,70.51900570994297,66.59856996935649,-1,1958
ngageoint-geowave.csv,BATCHBISECT,0,-1,7002693.0,22076441.0,68.27979201901249,55.27143981117231,-1,2542
FasterXML-jackson-databind.csv,BATCHBISECT,0,-1,291150.0,632440.0,53.964012396432864,39.82504604051565,-1,2172
sparklemotion-nokogiri.csv,BATCHBISECT,0,-1,2555338.0,5466703.0,53.256322869561416,45.707997065297135,-1,4089
CloudSlang-cloud-slang.csv,BATCHBISECT,0,-1,959805.0,2010042.0,52.24950523421899,39.679358717434866,-1,1996
floragunncom-search-guard.csv,BATCHBISECT,0,-1,3704618.0,10515790.0,64.77090166311802,61.25410733844468,-1,3652
apache-sling.csv,BATCHBISECT,0,-1,31386027.0,31884593.0,1.563658033834713,0.4699775533108852,-1,14256
mybatis-mybatis-3.csv,BATCHBISECT,0,-1,845130.0,3043143.0,72.22838361522939,68.35564053537284,-1,2092
apache-pdfbox.csv,BATCHBISECT,0,-1,4942494.0,5848472.0,15.490849575752435,11.003560302625726,-1,8988
structr-structr.csv,BATCHBISECT,0,-1,7904198.0,9551875.0,17.249775567624155,12.6118449083937,-1,2347
orbeon-orbeon-forms.csv,BATCHBISECT,0,-1,2078163.0,2585653.0,19.627150278865727,13.186372745490981,-1,2495
puniverse-quasar.csv,BATCHBISECT,0,-1,421660.0,875477.0,51.8365416795644,41.206896551724135,-1,1160
p6spy-p6spy.csv,BATCHBISECT,0,-1,1076805.0,1586907.0,32.14441678056748,15.283842794759828,-1,916
grails-grails-core.csv,BATCHBISECT,0,-1,1303987.0,1769150.0,26.293022072746794,6.2624254473161,-1,1006
SpongePowered-SpongeCommon.csv,BATCHBISECT,0,-1,1376464.0,3065469.0,55.09776807398803,42.93831168831169,-1,3696
killbill-killbill.csv,BATCHBISECT,0,-1,nan,nan,nan,29.439771464846853,-1,6301
junit-team-junit5.csv,BATCHBISECT,0,-1,77846.0,283534.0,72.5443862111775,63.0881378396289,-1,1509
square-wire.csv,BATCHBISECT,0,-1,70833.0,269068.0,73.67468446638024,68.55813953488372,-1,1075
nutzam-nutz.csv,BATCHBISECT,0,-1,2424407.0,3240542.0,25.185138782339493,19.253152279340448,-1,4124
rackerlabs-blueflood.csv,BATCHBISECT,0,-1,2972031.0,5172187.0,42.53821449224477,35.87223587223587,-1,2035
yegor256-takes.csv,BATCHBISECT,0,-1,696384.0,1170315.0,40.49602030222633,37.983281086729356,-1,1914
geotools-geotools.csv,BATCHBISECT,0,-1,nan,nan,nan,27.018558688840688,-1,4149
CloudifySource-cloudify.csv,BATCHBISECT,0,-1,nan,nan,nan,34.672970843183606,-1,5076
dreamhead-moco.csv,BATCHBISECT,0,-1,3429668.0,4738630.0,27.623215992808042,36.06855362243573,-1,3851
osmdroid-osmdroid.csv,BATCHBISECT,0,-1,8745194.0,10708671.0,18.33539381310716,14.511041009463721,-1,951
naver-pinpoint.csv,BATCHBISECT,0,-1,523713.0,1415497.0,63.00147580673078,58.62068965517242,-1,1943
SonarSource-sonar-java.csv,BATCHBISECT,0,-1,nan,nan,nan,46.690635724791626,-1,12238
apache-zeppelin.csv,BATCHBISECT,0,-1,27319524.0,32304405.0,15.430963671982198,12.697590049235552,-1,3859
geoserver-geoserver.csv,BATCHBISECT,0,-1,nan,nan,nan,12.563106796116507,-1,5150
apache-jackrabbit-oak.csv,BATCHBISECT,0,-1,nan,nan,nan,7.370780590717296,-1,7584
JabRef-jabref.csv,BATCHBISECT,0,-1,352323.0,963701.0,63.44063148217134,55.33718689788054,-1,2595
linkedin-gobblin.csv,BATCHBISECT,0,-1,9027666.0,10955171.0,17.594476617480453,13.696969696969695,-1,3300
sakaiproject-sakai.csv,BATCHBISECT,0,-1,2116087.0,5275365.0,59.88738220009421,54.34967412864834,-1,3529
deeplearning4j-deeplearning4j.csv,BATCHBISECT,0,-1,nan,nan,nan,0.38043478260869623,-1,1840
checkstyle-checkstyle.csv,BATCHBISECT,0,-1,42285585.0,234335568.0,81.95511447071492,79.20087315522233,-1,42146
jOOQ-jOOQ.csv,BATCHBISECT,0,-1,1689723.0,3869457.0,56.33177988539477,43.47826086956522,-1,3243
apache-nifi.csv,BATCHBISECT,0,-1,2440690.0,3789554.0,35.594267821490334,19.308600337268132,-1,1186
SpongePowered-SpongeForge.csv,BATCHSTOP4,0,-1,1416508.0,3267615.0,56.650094946926124,45.448655652737294,-1,3087
DSpace-DSpace.csv,BATCHSTOP4,0,-1,336829.0,1027323.0,67.212940818029,62.91693917593197,-1,1529
essentials-Essentials.csv,BATCHSTOP4,0,-1,54038.0,58032.0,6.882409704990351,-1.3698630136986356,-1,73
xetorthio-jedis.csv,BATCHSTOP4,0,-1,223810.0,533837.0,58.0752177162692,53.04755525787006,-1,1493
samtools-htsjdk.csv,BATCHSTOP4,0,-1,426960.0,1625028.0,73.72599118292115,67.44904261890056,-1,1619
caelum-vraptor4.csv,BATCHSTOP4,0,-1,66487.0,149339.0,55.479144764595986,45.66596194503171,-1,946
cloudfoundry-uaa.csv,BATCHSTOP4,0,-1,474166.0,1661708.0,71.46514309373248,66.80327868852459,-1,244
keycloak-keycloak.csv,BATCHSTOP4,0,-1,1968341.0,4295476.0,54.17641723524937,51.73833485818847,-1,2186
open-keychain-open-keychain.csv,BATCHSTOP4,0,-1,367910.0,657306.0,44.02759141100188,34.887839433293976,-1,1694
ratpack-ratpack.csv,BATCHSTOP4,0,-1,1407178.0,1788638.0,21.32684198814964,7.850241545893722,-1,1656
apache-tajo.csv,BATCHSTOP4,0,-1,nan,nan,nan,31.05058365758755,-1,1285
Graylog2-graylog2-server.csv,BATCHSTOP4,0,-1,857730.0,3179525.0,73.02332895636927,65.25259067357513,-1,3088
typetools-checker-framework.csv,BATCHSTOP4,0,-1,13258196.0,29301756.0,54.752896038039495,37.80390061448037,-1,3743
dropwizard-dropwizard.csv,BATCHSTOP4,0,-1,1036238.0,3760633.0,72.44511761716711,68.53932584269663,-1,1958
ngageoint-geowave.csv,BATCHSTOP4,0,-1,6395259.0,22076441.0,71.03129530706512,59.04799370574351,-1,2542
FasterXML-jackson-databind.csv,BATCHSTOP4,0,-1,278126.0,632440.0,56.02333818227816,42.58747697974218,-1,2172
sparklemotion-nokogiri.csv,BATCHSTOP4,0,-1,2419735.0,5466703.0,55.73684906606413,47.884568354120816,-1,4089
CloudSlang-cloud-slang.csv,BATCHSTOP4,0,-1,896259.0,2010042.0,55.410931711874674,44.23847695390781,-1,1996
floragunncom-search-guard.csv,BATCHSTOP4,0,-1,3237093.0,10515790.0,69.21683487403229,65.36144578313254,-1,3652
apache-sling.csv,BATCHSTOP4,0,-1,31202000.0,31884593.0,2.1408239396375564,0.6383277216610583,-1,14256
mybatis-mybatis-3.csv,BATCHSTOP4,0,-1,767249.0,3043143.0,74.78761267544772,71.41491395793498,-1,2092
apache-pdfbox.csv,BATCHSTOP4,0,-1,4683931.0,5848472.0,19.911884676886544,14.98664886515354,-1,8988
structr-structr.csv,BATCHSTOP4,0,-1,7349793.0,9551875.0,23.053923967807364,18.534299105240738,-1,2347
orbeon-orbeon-forms.csv,BATCHSTOP4,0,-1,1959820.0,2585653.0,24.204059864181318,17.314629258517034,-1,2495
puniverse-quasar.csv,BATCHSTOP4,0,-1,375968.0,875477.0,57.055639382873565,45.862068965517246,-1,1160
p6spy-p6spy.csv,BATCHSTOP4,0,-1,992501.0,1586907.0,37.45688940813797,22.816593886462876,-1,916
grails-grails-core.csv,BATCHSTOP4,0,-1,1215171.0,1769150.0,31.313286041319273,13.220675944333992,-1,1006
SpongePowered-SpongeCommon.csv,BATCHSTOP4,0,-1,1252507.0,3065469.0,59.141423384154265,48.917748917748916,-1,3696
killbill-killbill.csv,BATCHSTOP4,0,-1,nan,nan,nan,32.613870814156485,-1,6301
junit-team-junit5.csv,BATCHSTOP4,0,-1,74190.0,283534.0,73.83382592563855,64.47978793903248,-1,1509
square-wire.csv,BATCHSTOP4,0,-1,66107.0,269068.0,75.43111778435191,70.79069767441861,-1,1075
nutzam-nutz.csv,BATCHSTOP4,0,-1,2214469.0,3240542.0,31.663622937150635,24.19980601357905,-1,4124
rackerlabs-blueflood.csv,BATCHSTOP4,0,-1,2609437.0,5172187.0,49.54867254412882,42.50614250614251,-1,2035
yegor256-takes.csv,BATCHSTOP4,0,-1,644269.0,1170315.0,44.949094901799945,41.32706374085684,-1,1914
geotools-geotools.csv,BATCHSTOP4,0,-1,nan,nan,nan,29.74210653169438,-1,4149
CloudifySource-cloudify.csv,BATCHSTOP4,0,-1,nan,nan,nan,38.494877856579976,-1,5076
dreamhead-moco.csv,BATCHSTOP4,0,-1,3306385.0,4738630.0,30.224875122134463,39.80784211893015,-1,3851
osmdroid-osmdroid.csv,BATCHSTOP4,0,-1,8264004.0,10708671.0,22.82885523329645,17.981072555205046,-1,951
naver-pinpoint.csv,BATCHSTOP4,0,-1,480267.0,1415497.0,66.07078644461981,61.39989706639217,-1,1943
SonarSource-sonar-java.csv,BATCHSTOP4,0,-1,nan,nan,nan,51.36460205915999,-1,12238
apache-zeppelin.csv,BATCHSTOP4,0,-1,26233486.0,32304405.0,18.79285193458911,16.480953614926143,-1,3859
geoserver-geoserver.csv,BATCHSTOP4,0,-1,nan,nan,nan,18.01941747572815,-1,5150
apache-jackrabbit-oak.csv,BATCHSTOP4,0,-1,nan,nan,nan,12.9746835443038,-1,7584
JabRef-jabref.csv,BATCHSTOP4,0,-1,320939.0,963701.0,66.69724323208132,58.53564547206166,-1,2595
linkedin-gobblin.csv,BATCHSTOP4,0,-1,8555312.0,10955171.0,21.906175631580737,19.63636363636364,-1,3300
sakaiproject-sakai.csv,BATCHSTOP4,0,-1,1937975.0,5275365.0,63.2636793852179,56.89997166336072,-1,3529
deeplearning4j-deeplearning4j.csv,BATCHSTOP4,0,-1,nan,nan,nan,1.5760869565217384,-1,1840
checkstyle-checkstyle.csv,BATCHSTOP4,0,-1,40531105.0,234335568.0,82.7038185684215,80.20689982441988,-1,42146
jOOQ-jOOQ.csv,BATCHSTOP4,0,-1,1519395.0,3869457.0,60.7336378205004,47.67190872648782,-1,3243
apache-nifi.csv,BATCHSTOP4,0,-1,2201564.0,3789554.0,41.90440352611415,25.29510961214165,-1,1186
SpongePowered-SpongeForge.csv,BATCHDIVIDE4,0,-1,1592884.0,3267615.0,51.25239662567346,47.39229024943311,-1,3087
DSpace-DSpace.csv,BATCHDIVIDE4,0,-1,437088.0,1027323.0,57.45369275291218,63.70176586003924,-1,1529
essentials-Essentials.csv,BATCHDIVIDE4,0,-1,54038.0,58032.0,6.882409704990351,-1.3698630136986356,-1,73
xetorthio-jedis.csv,BATCHDIVIDE4,0,-1,235987.0,533837.0,55.794184367138286,53.7173476222371,-1,1493
samtools-htsjdk.csv,BATCHDIVIDE4,0,-1,491385.0,1625028.0,69.76144411050149,68.31377393452749,-1,1619
caelum-vraptor4.csv,BATCHDIVIDE4,0,-1,83522.0,149339.0,44.07221154554403,46.61733615221987,-1,946
cloudfoundry-uaa.csv,BATCHDIVIDE4,0,-1,617598.0,1661708.0,62.833542355215236,66.39344262295081,-1,244
keycloak-keycloak.csv,BATCHDIVIDE4,0,-1,2423726.0,4295476.0,43.574914631114225,53.20219579139982,-1,2186
open-keychain-open-keychain.csv,BATCHDIVIDE4,0,-1,427565.0,657306.0,34.95190976501051,35.9504132231405,-1,1694
ratpack-ratpack.csv,BATCHDIVIDE4,0,-1,1425965.0,1788638.0,20.27648970892936,10.92995169082126,-1,1656
apache-tajo.csv,BATCHDIVIDE4,0,-1,nan,nan,nan,33.85214007782101,-1,1285
Graylog2-graylog2-server.csv,BATCHDIVIDE4,0,-1,1020312.0,3179525.0,67.90992365211784,65.90025906735751,-1,3088
typetools-checker-framework.csv,BATCHDIVIDE4,0,-1,14283596.0,29301756.0,51.253447063036084,38.71226289072936,-1,3743
dropwizard-dropwizard.csv,BATCHDIVIDE4,0,-1,1138088.0,3760633.0,69.73679697008455,69.40755873340143,-1,1958
ngageoint-geowave.csv,BATCHDIVIDE4,0,-1,6570094.0,22076441.0,70.23934247372573,59.402045633359556,-1,2542
FasterXML-jackson-databind.csv,BATCHDIVIDE4,0,-1,297056.0,632440.0,53.03016886977421,44.10681399631676,-1,2172
sparklemotion-nokogiri.csv,BATCHDIVIDE4,0,-1,2452318.0,5466703.0,55.14082253965507,48.12912692589876,-1,4089
CloudSlang-cloud-slang.csv,BATCHDIVIDE4,0,-1,1024780.0,2010042.0,49.01698571472636,46.04208416833667,-1,1996
floragunncom-search-guard.csv,BATCHDIVIDE4,0,-1,3727912.0,10515790.0,64.54938715969033,66.12814895947426,-1,3652
apache-sling.csv,BATCHDIVIDE4,0,-1,31177417.0,31884593.0,2.2179238731383464,0.6734006734006703,-1,14256
mybatis-mybatis-3.csv,BATCHDIVIDE4,0,-1,822341.0,3043143.0,72.97724753651077,72.46653919694073,-1,2092
apache-pdfbox.csv,BATCHDIVIDE4,0,-1,4681612.0,5848472.0,19.951536059333108,15.765465064530481,-1,8988
structr-structr.csv,BATCHDIVIDE4,0,-1,7375598.0,9551875.0,22.783767584898257,19.897741798040048,-1,2347
orbeon-orbeon-forms.csv,BATCHDIVIDE4,0,-1,2012181.0,2585653.0,22.179000817201683,18.47695390781563,-1,2495
puniverse-quasar.csv,BATCHDIVIDE4,0,-1,428961.0,875477.0,51.0025962989319,47.58620689655172,-1,1160
p6spy-p6spy.csv,BATCHDIVIDE4,0,-1,1035197.0,1586907.0,34.76637257255781,23.580786026200872,-1,916
grails-grails-core.csv,BATCHDIVIDE4,0,-1,1226387.0,1769150.0,30.679309272814635,14.910536779324058,-1,1006
SpongePowered-SpongeCommon.csv,BATCHDIVIDE4,0,-1,1433820.0,3065469.0,53.22673300561839,50.02705627705628,-1,3696
killbill-killbill.csv,BATCHDIVIDE4,0,-1,nan,nan,nan,33.16933820028567,-1,6301
junit-team-junit5.csv,BATCHDIVIDE4,0,-1,89183.0,283534.0,68.5459239456291,65.60636182902584,-1,1509
square-wire.csv,BATCHDIVIDE4,0,-1,94412.0,269068.0,64.9114721929029,71.25581395348837,-1,1075
nutzam-nutz.csv,BATCHDIVIDE4,0,-1,2252661.0,3240542.0,30.48505466060925,25.557710960232782,-1,4124
rackerlabs-blueflood.csv,BATCHDIVIDE4,0,-1,2755186.0,5172187.0,46.73073498696006,44.86486486486486,-1,2035
yegor256-takes.csv,BATCHDIVIDE4,0,-1,707656.0,1170315.0,39.53286081097824,42.73772204806687,-1,1914
geotools-geotools.csv,BATCHDIVIDE4,0,-1,nan,nan,nan,30.633887683779225,-1,4149
CloudifySource-cloudify.csv,BATCHDIVIDE4,0,-1,nan,nan,nan,39.67691095350669,-1,5076
dreamhead-moco.csv,BATCHDIVIDE4,0,-1,3348090.0,4738630.0,29.344768424629066,40.53492599324851,-1,3851
osmdroid-osmdroid.csv,BATCHDIVIDE4,0,-1,8311750.0,10708671.0,22.382992249925323,19.348054679284964,-1,951
naver-pinpoint.csv,BATCHDIVIDE4,0,-1,524716.0,1415497.0,62.93061730261527,62.06896551724138,-1,1943
SonarSource-sonar-java.csv,BATCHDIVIDE4,0,-1,nan,nan,nan,52.328811897368844,-1,12238
apache-zeppelin.csv,BATCHDIVIDE4,0,-1,26240095.0,32304405.0,18.772393424364267,17.284270536408396,-1,3859
geoserver-geoserver.csv,BATCHDIVIDE4,0,-1,nan,nan,nan,18.893203883495147,-1,5150
apache-jackrabbit-oak.csv,BATCHDIVIDE4,0,-1,nan,nan,nan,14.253691983122362,-1,7584
JabRef-jabref.csv,BATCHDIVIDE4,0,-1,386742.0,963701.0,59.86908802626541,58.38150289017341,-1,2595
linkedin-gobblin.csv,BATCHDIVIDE4,0,-1,8576510.0,10955171.0,21.712677967327025,21.363636363636363,-1,3300
sakaiproject-sakai.csv,BATCHDIVIDE4,0,-1,2344155.0,5275365.0,55.5641173643909,57.77840748087277,-1,3529
deeplearning4j-deeplearning4j.csv,BATCHDIVIDE4,0,-1,nan,nan,nan,1.8478260869565166,-1,1840
checkstyle-checkstyle.csv,BATCHDIVIDE4,0,-1,40736498.0,234335568.0,82.61616947539095,80.28757177430835,-1,42146
jOOQ-jOOQ.csv,BATCHDIVIDE4,0,-1,1784816.0,3869457.0,53.874251606879206,48.75115633672525,-1,3243
apache-nifi.csv,BATCHDIVIDE4,0,-1,2231086.0,3789554.0,41.125367259577246,27.318718381112983,-1,1186
