,project,algorithm,ci_skip,batch_size,method,update_method,factor,num_of_builds,builds_saved,testall_size
0,junit-team-junit5.csv,BATCHBISECT,0,-1,new_dynamic,stagger_mfu,2,562,66.86320754716982,1696
1,junit-team-junit5.csv,BATCHBISECT,0,-1,new_dynamic,stagger_mfu,3,580,65.80188679245283,1696
2,junit-team-junit5.csv,BATCHSTOP4,0,-1,new_dynamic,stagger_mfu,2,531,68.69103773584905,1696
3,junit-team-junit5.csv,BATCHSTOP4,0,-1,new_dynamic,stagger_mfu,3,533,68.57311320754717,1696
4,junit-team-junit5.csv,BATCHDIVIDE4,0,-1,new_dynamic,stagger_mfu,2,710,58.136792452830186,1696
5,junit-team-junit5.csv,BATCHDIVIDE4,0,-1,new_dynamic,stagger_mfu,3,706,58.37264150943396,1696
6,junit-team-junit5.csv,BATCHBISECT,1,-1,new_dynamic,stagger_mfu,2,534,64.61232604373757,1509
7,junit-team-junit5.csv,BATCHBISECT,1,-1,new_dynamic,stagger_mfu,3,533,64.67859509609013,1509
8,junit-team-junit5.csv,BATCHSTOP4,1,-1,new_dynamic,stagger_mfu,2,498,66.99801192842942,1509
9,junit-team-junit5.csv,BATCHSTOP4,1,-1,new_dynamic,stagger_mfu,3,497,67.06428098078197,1509
10,junit-team-junit5.csv,BATCHDIVIDE4,1,-1,new_dynamic,stagger_mfu,2,647,57.12392312789927,1509
11,junit-team-junit5.csv,BATCHDIVIDE4,1,-1,new_dynamic,stagger_mfu,3,655,56.59377070907886,1509
12,ratpack-ratpack.csv,BATCHBISECT,0,-1,new_dynamic,stagger_mfu,2,1783,4.957356076759055,1876
13,ratpack-ratpack.csv,BATCHBISECT,0,-1,new_dynamic,stagger_mfu,3,1885,-0.47974413646055325,1876
14,ratpack-ratpack.csv,BATCHSTOP4,0,-1,new_dynamic,stagger_mfu,2,1604,14.498933901918974,1876
15,ratpack-ratpack.csv,BATCHSTOP4,0,-1,new_dynamic,stagger_mfu,3,1624,13.43283582089552,1876
16,ratpack-ratpack.csv,BATCHDIVIDE4,0,-1,new_dynamic,stagger_mfu,2,1616,13.859275053304899,1876
17,ratpack-ratpack.csv,BATCHDIVIDE4,0,-1,new_dynamic,stagger_mfu,3,1636,12.793176972281444,1876
18,ratpack-ratpack.csv,BATCHBISECT,1,-1,new_dynamic,stagger_mfu,2,1620,2.173913043478265,1656
19,ratpack-ratpack.csv,BATCHBISECT,1,-1,new_dynamic,stagger_mfu,3,1655,0.06038647342995773,1656
20,ratpack-ratpack.csv,BATCHSTOP4,1,-1,new_dynamic,stagger_mfu,2,1437,13.224637681159422,1656
21,ratpack-ratpack.csv,BATCHSTOP4,1,-1,new_dynamic,stagger_mfu,3,1428,13.768115942028984,1656
22,ratpack-ratpack.csv,BATCHDIVIDE4,1,-1,new_dynamic,stagger_mfu,2,1446,12.681159420289859,1656
23,ratpack-ratpack.csv,BATCHDIVIDE4,1,-1,new_dynamic,stagger_mfu,3,1438,13.164251207729464,1656
24,p6spy-p6spy.csv,BATCHBISECT,0,-1,new_dynamic,stagger_mfu,2,1074,16.614906832298132,1288
25,p6spy-p6spy.csv,BATCHBISECT,0,-1,new_dynamic,stagger_mfu,3,1110,13.81987577639751,1288
26,p6spy-p6spy.csv,BATCHSTOP4,0,-1,new_dynamic,stagger_mfu,2,939,27.09627329192547,1288
27,p6spy-p6spy.csv,BATCHSTOP4,0,-1,new_dynamic,stagger_mfu,3,932,27.639751552795033,1288
28,p6spy-p6spy.csv,BATCHDIVIDE4,0,-1,new_dynamic,stagger_mfu,2,987,23.369565217391298,1288
29,p6spy-p6spy.csv,BATCHDIVIDE4,0,-1,new_dynamic,stagger_mfu,3,975,24.301242236024848,1288
30,p6spy-p6spy.csv,BATCHBISECT,1,-1,new_dynamic,stagger_mfu,2,784,14.41048034934498,916
31,p6spy-p6spy.csv,BATCHBISECT,1,-1,new_dynamic,stagger_mfu,3,802,12.445414847161572,916
32,p6spy-p6spy.csv,BATCHSTOP4,1,-1,new_dynamic,stagger_mfu,2,690,24.672489082969435,916
33,p6spy-p6spy.csv,BATCHSTOP4,1,-1,new_dynamic,stagger_mfu,3,661,27.838427947598248,916
34,p6spy-p6spy.csv,BATCHDIVIDE4,1,-1,new_dynamic,stagger_mfu,2,724,20.96069868995633,916
35,p6spy-p6spy.csv,BATCHDIVIDE4,1,-1,new_dynamic,stagger_mfu,3,699,23.689956331877724,916
36,apache-tajo.csv,BATCHBISECT,0,-1,new_dynamic,stagger_mfu,2,956,25.71872571872572,1287
37,apache-tajo.csv,BATCHBISECT,0,-1,new_dynamic,stagger_mfu,3,945,26.573426573426573,1287
38,apache-tajo.csv,BATCHSTOP4,0,-1,new_dynamic,stagger_mfu,2,829,35.58663558663558,1287
39,apache-tajo.csv,BATCHSTOP4,0,-1,new_dynamic,stagger_mfu,3,789,38.6946386946387,1287
40,apache-tajo.csv,BATCHDIVIDE4,0,-1,new_dynamic,stagger_mfu,2,888,31.002331002331005,1287
41,apache-tajo.csv,BATCHDIVIDE4,0,-1,new_dynamic,stagger_mfu,3,862,33.022533022533025,1287
42,apache-tajo.csv,BATCHBISECT,1,-1,new_dynamic,stagger_mfu,2,955,25.680933852140072,1285
43,apache-tajo.csv,BATCHBISECT,1,-1,new_dynamic,stagger_mfu,3,943,26.614785992217904,1285
44,apache-tajo.csv,BATCHSTOP4,1,-1,new_dynamic,stagger_mfu,2,816,36.49805447470817,1285
45,apache-tajo.csv,BATCHSTOP4,1,-1,new_dynamic,stagger_mfu,3,779,39.37743190661479,1285
46,apache-tajo.csv,BATCHDIVIDE4,1,-1,new_dynamic,stagger_mfu,2,880,31.51750972762646,1285
47,apache-tajo.csv,BATCHDIVIDE4,1,-1,new_dynamic,stagger_mfu,3,849,33.92996108949416,1285
48,osmdroid-osmdroid.csv,BATCHBISECT,0,-1,new_dynamic,stagger_mfu,2,973,8.55263157894737,1064
49,osmdroid-osmdroid.csv,BATCHBISECT,0,-1,new_dynamic,stagger_mfu,3,963,9.492481203007515,1064
50,osmdroid-osmdroid.csv,BATCHSTOP4,0,-1,new_dynamic,stagger_mfu,2,870,18.233082706766922,1064
51,osmdroid-osmdroid.csv,BATCHSTOP4,0,-1,new_dynamic,stagger_mfu,3,861,19.078947368421055,1064
52,osmdroid-osmdroid.csv,BATCHDIVIDE4,0,-1,new_dynamic,stagger_mfu,2,887,16.635338345864668,1064
53,osmdroid-osmdroid.csv,BATCHDIVIDE4,0,-1,new_dynamic,stagger_mfu,3,894,15.977443609022558,1064
54,osmdroid-osmdroid.csv,BATCHBISECT,1,-1,new_dynamic,stagger_mfu,2,878,7.6761303890641415,951
55,osmdroid-osmdroid.csv,BATCHBISECT,1,-1,new_dynamic,stagger_mfu,3,868,8.727655099894847,951
56,osmdroid-osmdroid.csv,BATCHSTOP4,1,-1,new_dynamic,stagger_mfu,2,773,18.717139852786545,951
57,osmdroid-osmdroid.csv,BATCHSTOP4,1,-1,new_dynamic,stagger_mfu,3,772,18.822292323869604,951
58,osmdroid-osmdroid.csv,BATCHDIVIDE4,1,-1,new_dynamic,stagger_mfu,2,789,17.034700315457414,951
59,osmdroid-osmdroid.csv,BATCHDIVIDE4,1,-1,new_dynamic,stagger_mfu,3,797,16.193480546792856,951
60,DSpace-DSpace.csv,BATCHBISECT,0,-1,new_dynamic,stagger_mfu,2,572,63.70558375634518,1576
61,DSpace-DSpace.csv,BATCHBISECT,0,-1,new_dynamic,stagger_mfu,3,571,63.76903553299493,1576
62,DSpace-DSpace.csv,BATCHSTOP4,0,-1,new_dynamic,stagger_mfu,2,540,65.73604060913706,1576
63,DSpace-DSpace.csv,BATCHSTOP4,0,-1,new_dynamic,stagger_mfu,3,534,66.11675126903553,1576
64,DSpace-DSpace.csv,BATCHDIVIDE4,0,-1,new_dynamic,stagger_mfu,2,696,55.83756345177665,1576
65,DSpace-DSpace.csv,BATCHDIVIDE4,0,-1,new_dynamic,stagger_mfu,3,702,55.45685279187817,1576
66,DSpace-DSpace.csv,BATCHBISECT,1,-1,new_dynamic,stagger_mfu,2,573,62.52452583387835,1529
67,DSpace-DSpace.csv,BATCHBISECT,1,-1,new_dynamic,stagger_mfu,3,557,63.57096141268803,1529
68,DSpace-DSpace.csv,BATCHSTOP4,1,-1,new_dynamic,stagger_mfu,2,543,64.4865925441465,1529
69,DSpace-DSpace.csv,BATCHSTOP4,1,-1,new_dynamic,stagger_mfu,3,519,66.05624591236102,1529
70,DSpace-DSpace.csv,BATCHDIVIDE4,1,-1,new_dynamic,stagger_mfu,2,703,54.02223675604971,1529
71,DSpace-DSpace.csv,BATCHDIVIDE4,1,-1,new_dynamic,stagger_mfu,3,676,55.78809679529104,1529
72,apache-nifi.csv,BATCHBISECT,0,-1,new_dynamic,stagger_mfu,2,1014,20.22029897718332,1271
73,apache-nifi.csv,BATCHBISECT,0,-1,new_dynamic,stagger_mfu,3,1017,19.98426435877262,1271
74,apache-nifi.csv,BATCHSTOP4,0,-1,new_dynamic,stagger_mfu,2,887,30.212431156569636,1271
75,apache-nifi.csv,BATCHSTOP4,0,-1,new_dynamic,stagger_mfu,3,876,31.07789142407553,1271
76,apache-nifi.csv,BATCHDIVIDE4,0,-1,new_dynamic,stagger_mfu,2,935,26.435877261998428,1271
77,apache-nifi.csv,BATCHDIVIDE4,0,-1,new_dynamic,stagger_mfu,3,923,27.380015735641223,1271
78,apache-nifi.csv,BATCHBISECT,1,-1,new_dynamic,stagger_mfu,2,945,20.32040472175379,1186
79,apache-nifi.csv,BATCHBISECT,1,-1,new_dynamic,stagger_mfu,3,946,20.236087689713315,1186
80,apache-nifi.csv,BATCHSTOP4,1,-1,new_dynamic,stagger_mfu,2,834,29.67959527824621,1186
81,apache-nifi.csv,BATCHSTOP4,1,-1,new_dynamic,stagger_mfu,3,819,30.94435075885329,1186
82,apache-nifi.csv,BATCHDIVIDE4,1,-1,new_dynamic,stagger_mfu,2,884,25.46374367622259,1186
83,apache-nifi.csv,BATCHDIVIDE4,1,-1,new_dynamic,stagger_mfu,3,875,26.22259696458684,1186
84,caelum-vraptor4.csv,BATCHBISECT,0,-1,new_dynamic,stagger_mfu,2,808,43.417366946778714,1428
85,caelum-vraptor4.csv,BATCHBISECT,0,-1,new_dynamic,stagger_mfu,3,813,43.0672268907563,1428
86,caelum-vraptor4.csv,BATCHSTOP4,0,-1,new_dynamic,stagger_mfu,2,746,47.75910364145658,1428
87,caelum-vraptor4.csv,BATCHSTOP4,0,-1,new_dynamic,stagger_mfu,3,736,48.4593837535014,1428
88,caelum-vraptor4.csv,BATCHDIVIDE4,0,-1,new_dynamic,stagger_mfu,2,828,42.016806722689076,1428
89,caelum-vraptor4.csv,BATCHDIVIDE4,0,-1,new_dynamic,stagger_mfu,3,822,42.436974789915965,1428
90,caelum-vraptor4.csv,BATCHBISECT,1,-1,new_dynamic,stagger_mfu,2,546,42.28329809725159,946
91,caelum-vraptor4.csv,BATCHBISECT,1,-1,new_dynamic,stagger_mfu,3,549,41.9661733615222,946
92,caelum-vraptor4.csv,BATCHSTOP4,1,-1,new_dynamic,stagger_mfu,2,487,48.520084566596196,946
93,caelum-vraptor4.csv,BATCHSTOP4,1,-1,new_dynamic,stagger_mfu,3,500,47.145877378435515,946
94,caelum-vraptor4.csv,BATCHDIVIDE4,1,-1,new_dynamic,stagger_mfu,2,542,42.706131078224104,946
95,caelum-vraptor4.csv,BATCHDIVIDE4,1,-1,new_dynamic,stagger_mfu,3,554,41.43763213530655,946
96,grails-grails-core.csv,BATCHBISECT,0,-1,new_dynamic,stagger_mfu,2,1012,4.7080979284369135,1062
97,grails-grails-core.csv,BATCHBISECT,0,-1,new_dynamic,stagger_mfu,3,1039,2.165725047080983,1062
98,grails-grails-core.csv,BATCHSTOP4,0,-1,new_dynamic,stagger_mfu,2,875,17.60828625235405,1062
99,grails-grails-core.csv,BATCHSTOP4,0,-1,new_dynamic,stagger_mfu,3,854,19.58568738229755,1062
100,grails-grails-core.csv,BATCHDIVIDE4,0,-1,new_dynamic,stagger_mfu,2,883,16.85499058380414,1062
101,grails-grails-core.csv,BATCHDIVIDE4,0,-1,new_dynamic,stagger_mfu,3,878,17.325800376647834,1062
102,grails-grails-core.csv,BATCHBISECT,1,-1,new_dynamic,stagger_mfu,2,972,3.379721669980114,1006
103,grails-grails-core.csv,BATCHBISECT,1,-1,new_dynamic,stagger_mfu,3,1028,-2.1868787276341948,1006
104,grails-grails-core.csv,BATCHSTOP4,1,-1,new_dynamic,stagger_mfu,2,852,15.308151093439363,1006
105,grails-grails-core.csv,BATCHSTOP4,1,-1,new_dynamic,stagger_mfu,3,832,17.2962226640159,1006
106,grails-grails-core.csv,BATCHDIVIDE4,1,-1,new_dynamic,stagger_mfu,2,860,14.512922465208746,1006
107,grails-grails-core.csv,BATCHDIVIDE4,1,-1,new_dynamic,stagger_mfu,3,842,16.30218687872764,1006
108,square-wire.csv,BATCHBISECT,0,-1,new_dynamic,stagger_mfu,2,330,70.58823529411765,1122
109,square-wire.csv,BATCHBISECT,0,-1,new_dynamic,stagger_mfu,3,337,69.96434937611409,1122
110,square-wire.csv,BATCHSTOP4,0,-1,new_dynamic,stagger_mfu,2,311,72.28163992869875,1122
111,square-wire.csv,BATCHSTOP4,0,-1,new_dynamic,stagger_mfu,3,314,72.01426024955437,1122
112,square-wire.csv,BATCHDIVIDE4,0,-1,new_dynamic,stagger_mfu,2,442,60.60606060606061,1122
113,square-wire.csv,BATCHDIVIDE4,0,-1,new_dynamic,stagger_mfu,3,451,59.80392156862745,1122
114,square-wire.csv,BATCHBISECT,1,-1,new_dynamic,stagger_mfu,2,315,70.69767441860465,1075
115,square-wire.csv,BATCHBISECT,1,-1,new_dynamic,stagger_mfu,3,349,67.53488372093022,1075
116,square-wire.csv,BATCHSTOP4,1,-1,new_dynamic,stagger_mfu,2,292,72.83720930232559,1075
117,square-wire.csv,BATCHSTOP4,1,-1,new_dynamic,stagger_mfu,3,322,70.04651162790698,1075
118,square-wire.csv,BATCHDIVIDE4,1,-1,new_dynamic,stagger_mfu,2,421,60.83720930232558,1075
119,square-wire.csv,BATCHDIVIDE4,1,-1,new_dynamic,stagger_mfu,3,440,59.06976744186046,1075
120,puniverse-quasar.csv,BATCHBISECT,0,-1,new_dynamic,stagger_mfu,2,692,45.38279400157853,1267
121,puniverse-quasar.csv,BATCHBISECT,0,-1,new_dynamic,stagger_mfu,3,663,47.67166535122336,1267
122,puniverse-quasar.csv,BATCHSTOP4,0,-1,new_dynamic,stagger_mfu,2,612,51.69692186266772,1267
123,puniverse-quasar.csv,BATCHSTOP4,0,-1,new_dynamic,stagger_mfu,3,585,53.82794001578532,1267
124,puniverse-quasar.csv,BATCHDIVIDE4,0,-1,new_dynamic,stagger_mfu,2,693,45.30386740331492,1267
125,puniverse-quasar.csv,BATCHDIVIDE4,0,-1,new_dynamic,stagger_mfu,3,665,47.51381215469613,1267
126,puniverse-quasar.csv,BATCHBISECT,1,-1,new_dynamic,stagger_mfu,2,632,45.51724137931034,1160
127,puniverse-quasar.csv,BATCHBISECT,1,-1,new_dynamic,stagger_mfu,3,662,42.93103448275862,1160
128,puniverse-quasar.csv,BATCHSTOP4,1,-1,new_dynamic,stagger_mfu,2,571,50.775862068965516,1160
129,puniverse-quasar.csv,BATCHSTOP4,1,-1,new_dynamic,stagger_mfu,3,590,49.13793103448276,1160
130,puniverse-quasar.csv,BATCHDIVIDE4,1,-1,new_dynamic,stagger_mfu,2,641,44.741379310344826,1160
131,puniverse-quasar.csv,BATCHDIVIDE4,1,-1,new_dynamic,stagger_mfu,3,654,43.62068965517241,1160
132,dropwizard-dropwizard.csv,BATCHBISECT,0,-1,new_dynamic,stagger_mfu,2,639,68.36633663366337,2020
133,dropwizard-dropwizard.csv,BATCHBISECT,0,-1,new_dynamic,stagger_mfu,3,666,67.02970297029702,2020
134,dropwizard-dropwizard.csv,BATCHSTOP4,0,-1,new_dynamic,stagger_mfu,2,601,70.24752475247524,2020
135,dropwizard-dropwizard.csv,BATCHSTOP4,0,-1,new_dynamic,stagger_mfu,3,614,69.60396039603961,2020
136,dropwizard-dropwizard.csv,BATCHDIVIDE4,0,-1,new_dynamic,stagger_mfu,2,841,58.366336633663366,2020
137,dropwizard-dropwizard.csv,BATCHDIVIDE4,0,-1,new_dynamic,stagger_mfu,3,857,57.57425742574257,2020
138,dropwizard-dropwizard.csv,BATCHBISECT,1,-1,new_dynamic,stagger_mfu,2,621,68.28396322778346,1958
139,dropwizard-dropwizard.csv,BATCHBISECT,1,-1,new_dynamic,stagger_mfu,3,618,68.43718079673135,1958
140,dropwizard-dropwizard.csv,BATCHSTOP4,1,-1,new_dynamic,stagger_mfu,2,580,70.3779366700715,1958
141,dropwizard-dropwizard.csv,BATCHSTOP4,1,-1,new_dynamic,stagger_mfu,3,566,71.0929519918284,1958
142,dropwizard-dropwizard.csv,BATCHDIVIDE4,1,-1,new_dynamic,stagger_mfu,2,830,57.60980592441267,1958
143,dropwizard-dropwizard.csv,BATCHDIVIDE4,1,-1,new_dynamic,stagger_mfu,3,820,58.12053115423902,1958
144,essentials-Essentials.csv,BATCHBISECT,0,-1,new_dynamic,stagger_mfu,2,107,-20.224719101123597,89
145,essentials-Essentials.csv,BATCHBISECT,0,-1,new_dynamic,stagger_mfu,3,109,-22.471910112359552,89
146,essentials-Essentials.csv,BATCHSTOP4,0,-1,new_dynamic,stagger_mfu,2,91,-2.247191011235955,89
147,essentials-Essentials.csv,BATCHSTOP4,0,-1,new_dynamic,stagger_mfu,3,91,-2.247191011235955,89
148,essentials-Essentials.csv,BATCHDIVIDE4,0,-1,new_dynamic,stagger_mfu,2,91,-2.247191011235955,89
149,essentials-Essentials.csv,BATCHDIVIDE4,0,-1,new_dynamic,stagger_mfu,3,91,-2.247191011235955,89
150,essentials-Essentials.csv,BATCHBISECT,1,-1,new_dynamic,stagger_mfu,2,85,-16.438356164383563,73
151,essentials-Essentials.csv,BATCHBISECT,1,-1,new_dynamic,stagger_mfu,3,89,-21.917808219178085,73
152,essentials-Essentials.csv,BATCHSTOP4,1,-1,new_dynamic,stagger_mfu,2,75,-2.7397260273972535,73
153,essentials-Essentials.csv,BATCHSTOP4,1,-1,new_dynamic,stagger_mfu,3,76,-4.109589041095887,73
154,essentials-Essentials.csv,BATCHDIVIDE4,1,-1,new_dynamic,stagger_mfu,2,75,-2.7397260273972535,73
155,essentials-Essentials.csv,BATCHDIVIDE4,1,-1,new_dynamic,stagger_mfu,3,76,-4.109589041095887,73
156,mybatis-mybatis-3.csv,BATCHBISECT,0,-1,new_dynamic,stagger_mfu,2,629,70.75778707577871,2151
157,mybatis-mybatis-3.csv,BATCHBISECT,0,-1,new_dynamic,stagger_mfu,3,652,69.6885169688517,2151
158,mybatis-mybatis-3.csv,BATCHSTOP4,0,-1,new_dynamic,stagger_mfu,2,547,74.56996745699675,2151
159,mybatis-mybatis-3.csv,BATCHSTOP4,0,-1,new_dynamic,stagger_mfu,3,585,72.80334728033472,2151
160,mybatis-mybatis-3.csv,BATCHDIVIDE4,0,-1,new_dynamic,stagger_mfu,2,815,62.11064621106462,2151
161,mybatis-mybatis-3.csv,BATCHDIVIDE4,0,-1,new_dynamic,stagger_mfu,3,858,60.1115760111576,2151
162,mybatis-mybatis-3.csv,BATCHBISECT,1,-1,new_dynamic,stagger_mfu,2,608,70.93690248565966,2092
163,mybatis-mybatis-3.csv,BATCHBISECT,1,-1,new_dynamic,stagger_mfu,3,604,71.12810707456978,2092
164,mybatis-mybatis-3.csv,BATCHSTOP4,1,-1,new_dynamic,stagger_mfu,2,532,74.5697896749522,2092
165,mybatis-mybatis-3.csv,BATCHSTOP4,1,-1,new_dynamic,stagger_mfu,3,546,73.90057361376674,2092
166,mybatis-mybatis-3.csv,BATCHDIVIDE4,1,-1,new_dynamic,stagger_mfu,2,800,61.75908221797323,2092
167,mybatis-mybatis-3.csv,BATCHDIVIDE4,1,-1,new_dynamic,stagger_mfu,3,826,60.51625239005736,2092
168,naver-pinpoint.csv,BATCHBISECT,0,-1,new_dynamic,stagger_mfu,2,839,60.83099906629318,2142
169,naver-pinpoint.csv,BATCHBISECT,0,-1,new_dynamic,stagger_mfu,3,848,60.41083099906629,2142
170,naver-pinpoint.csv,BATCHSTOP4,0,-1,new_dynamic,stagger_mfu,2,771,64.00560224089637,2142
171,naver-pinpoint.csv,BATCHSTOP4,0,-1,new_dynamic,stagger_mfu,3,759,64.56582633053222,2142
172,naver-pinpoint.csv,BATCHDIVIDE4,0,-1,new_dynamic,stagger_mfu,2,999,53.36134453781513,2142
173,naver-pinpoint.csv,BATCHDIVIDE4,0,-1,new_dynamic,stagger_mfu,3,999,53.36134453781513,2142
174,naver-pinpoint.csv,BATCHBISECT,1,-1,new_dynamic,stagger_mfu,2,791,59.289758106021615,1943
175,naver-pinpoint.csv,BATCHBISECT,1,-1,new_dynamic,stagger_mfu,3,786,59.547092125579,1943
176,naver-pinpoint.csv,BATCHSTOP4,1,-1,new_dynamic,stagger_mfu,2,727,62.58363355635615,1943
177,naver-pinpoint.csv,BATCHSTOP4,1,-1,new_dynamic,stagger_mfu,3,709,63.51003602676274,1943
178,naver-pinpoint.csv,BATCHDIVIDE4,1,-1,new_dynamic,stagger_mfu,2,936,51.82707153885744,1943
179,naver-pinpoint.csv,BATCHDIVIDE4,1,-1,new_dynamic,stagger_mfu,3,929,52.18733916623778,1943
180,FasterXML-jackson-databind.csv,BATCHBISECT,0,-1,new_dynamic,stagger_mfu,2,1289,42.48103525211959,2241
181,FasterXML-jackson-databind.csv,BATCHBISECT,0,-1,new_dynamic,stagger_mfu,3,1295,42.21329763498438,2241
182,FasterXML-jackson-databind.csv,BATCHSTOP4,0,-1,new_dynamic,stagger_mfu,2,1191,46.85408299866131,2241
183,FasterXML-jackson-databind.csv,BATCHSTOP4,0,-1,new_dynamic,stagger_mfu,3,1194,46.72021419009371,2241
184,FasterXML-jackson-databind.csv,BATCHDIVIDE4,0,-1,new_dynamic,stagger_mfu,2,1357,39.44667559125391,2241
185,FasterXML-jackson-databind.csv,BATCHDIVIDE4,0,-1,new_dynamic,stagger_mfu,3,1360,39.3128067826863,2241
186,FasterXML-jackson-databind.csv,BATCHBISECT,1,-1,new_dynamic,stagger_mfu,2,1251,42.40331491712707,2172
187,FasterXML-jackson-databind.csv,BATCHBISECT,1,-1,new_dynamic,stagger_mfu,3,1236,43.0939226519337,2172
188,FasterXML-jackson-databind.csv,BATCHSTOP4,1,-1,new_dynamic,stagger_mfu,2,1150,47.05340699815838,2172
189,FasterXML-jackson-databind.csv,BATCHSTOP4,1,-1,new_dynamic,stagger_mfu,3,1143,47.3756906077348,2172
190,FasterXML-jackson-databind.csv,BATCHDIVIDE4,1,-1,new_dynamic,stagger_mfu,2,1316,39.41068139963168,2172
191,FasterXML-jackson-databind.csv,BATCHDIVIDE4,1,-1,new_dynamic,stagger_mfu,3,1313,39.548802946593,2172
192,samtools-htsjdk.csv,BATCHBISECT,0,-1,new_dynamic,stagger_mfu,2,560,67.23229959040376,1709
193,samtools-htsjdk.csv,BATCHBISECT,0,-1,new_dynamic,stagger_mfu,3,594,65.2428320655354,1709
194,samtools-htsjdk.csv,BATCHSTOP4,0,-1,new_dynamic,stagger_mfu,2,498,70.8601521357519,1709
195,samtools-htsjdk.csv,BATCHSTOP4,0,-1,new_dynamic,stagger_mfu,3,524,69.33879461673493,1709
196,samtools-htsjdk.csv,BATCHDIVIDE4,0,-1,new_dynamic,stagger_mfu,2,695,59.33294324166179,1709
197,samtools-htsjdk.csv,BATCHDIVIDE4,0,-1,new_dynamic,stagger_mfu,3,724,57.63604447045056,1709
198,samtools-htsjdk.csv,BATCHBISECT,1,-1,new_dynamic,stagger_mfu,2,548,66.15194564546016,1619
199,samtools-htsjdk.csv,BATCHBISECT,1,-1,new_dynamic,stagger_mfu,3,543,66.46077825818406,1619
200,samtools-htsjdk.csv,BATCHSTOP4,1,-1,new_dynamic,stagger_mfu,2,484,70.10500308832613,1619
201,samtools-htsjdk.csv,BATCHSTOP4,1,-1,new_dynamic,stagger_mfu,3,479,70.41383570105003,1619
202,samtools-htsjdk.csv,BATCHDIVIDE4,1,-1,new_dynamic,stagger_mfu,2,675,58.30759728227301,1619
203,samtools-htsjdk.csv,BATCHDIVIDE4,1,-1,new_dynamic,stagger_mfu,3,681,57.936998147004324,1619
204,deeplearning4j-deeplearning4j.csv,BATCHBISECT,0,-1,new_dynamic,stagger_mfu,2,1845,-0.2717391304347814,1840
